Game Date,Away Team,Home Team,Total_1to5_Runs
2025-04-18,New York Yankees,Tampa Bay Rays,1.0
2025-04-18,Los Angeles Dodgers,Texas Rangers,1.0
2025-04-18,Seattle Mariners,Toronto Blue Jays,4.0
2025-04-19,Minnesota Twins,Atlanta Braves,4.0
2025-04-19,Cincinnati Reds,Baltimore Orioles,8.0
2025-04-19,Chicago White Sox,Boston Red Sox,3.0
2025-04-19,Arizona Diamondbacks,Chicago Cubs,7.0
2025-04-19,Washington Nationals,Colorado Rockies,11.0
2025-04-19,Kansas City Royals,Detroit Tigers,3.0
2025-04-19,San Diego Padres,Houston Astros,2.0
2025-04-19,San Francisco Giants,Los Angeles Angels,4.0
2025-04-19,Athletics,Milwaukee Brewers,2.0
2025-04-19,St. Louis Cardinals,New York Mets,2.0
2025-04-19,Miami Marlins,Philadelphia Phillies,10.0
2025-04-19,Cleveland Guardians,Pittsburgh Pirates,1.0
2025-04-19,New York Yankees,Tampa Bay Rays,10.0
2025-04-19,Los Angeles Dodgers,Texas Rangers,5.0
2025-04-19,Seattle Mariners,Toronto Blue Jays,4.0
2025-04-20,Minnesota Twins,Atlanta Braves,7.0
2025-04-20,Cincinnati Reds,Baltimore Orioles,13.0
2025-04-20,Chicago White Sox,Boston Red Sox,6.0
2025-04-20,Arizona Diamondbacks,Chicago Cubs,2.0
2025-04-20,Washington Nationals,Colorado Rockies,4.0
2025-04-20,Washington Nationals,Colorado Rockies,3.0
2025-04-20,Kansas City Royals,Detroit Tigers,4.0
2025-04-20,San Diego Padres,Houston Astros,4.0
2025-04-20,San Francisco Giants,Los Angeles Angels,2.0
2025-04-20,Athletics,Milwaukee Brewers,9.0
2025-04-20,St. Louis Cardinals,New York Mets,3.0
2025-04-20,Miami Marlins,Philadelphia Phillies,5.0
2025-04-20,Cleveland Guardians,Pittsburgh Pirates,2.0
2025-04-20,New York Yankees,Tampa Bay Rays,2.0
2025-04-20,Los Angeles Dodgers,Texas Rangers,0.0
2025-04-20,Seattle Mariners,Toronto Blue Jays,9.0
2025-04-21,St. Louis Cardinals,Atlanta Braves,4.0
2025-04-21,Chicago White Sox,Boston Red Sox,5.0
2025-04-21,New York Yankees,Cleveland Guardians,5.0
2025-04-21,San Diego Padres,Detroit Tigers,10.0
2025-04-21,Toronto Blue Jays,Houston Astros,4.0
2025-04-21,Cincinnati Reds,Miami Marlins,3.0
2025-04-21,Philadelphia Phillies,New York Mets,2.0
2025-04-21,Milwaukee Brewers,San Francisco Giants,4.0
2025-04-22,Tampa Bay Rays,Arizona Diamondbacks,4.0
2025-04-22,Texas Rangers,Athletics,9.0
2025-04-22,St. Louis Cardinals,Atlanta Braves,6.0
2025-04-22,Seattle Mariners,Boston Red Sox,5.0
2025-04-22,Los Angeles Dodgers,Chicago Cubs,11.0
2025-04-22,New York Yankees,Cleveland Guardians,1.0
2025-04-22,San Diego Padres,Detroit Tigers,2.0
2025-04-22,Toronto Blue Jays,Houston Astros,4.0
2025-04-22,Colorado Rockies,Kansas City Royals,0.0
2025-04-22,Pittsburgh Pirates,Los Angeles Angels,9.0
2025-04-22,Cincinnati Reds,Miami Marlins,3.0
2025-04-22,Chicago White Sox,Minnesota Twins,3.0
2025-04-22,Philadelphia Phillies,New York Mets,3.0
2025-04-22,Milwaukee Brewers,San Francisco Giants,4.0
2025-04-22,Baltimore Orioles,Washington Nationals,5.0
2025-04-23,Tampa Bay Rays,Arizona Diamondbacks,5.0
2025-04-23,Texas Rangers,Athletics,6.0
2025-04-23,St. Louis Cardinals,Atlanta Braves,1.0
2025-04-23,Seattle Mariners,Boston Red Sox,6.0
2025-04-23,Los Angeles Dodgers,Chicago Cubs,12.0
2025-04-23,New York Yankees,Cleveland Guardians,5.0
2025-04-23,San Diego Padres,Detroit Tigers,2.0
2025-04-23,Toronto Blue Jays,Houston Astros,4.0
2025-04-23,Colorado Rockies,Kansas City Royals,0.0
2025-04-23,Pittsburgh Pirates,Los Angeles Angels,2.0
2025-04-23,Cincinnati Reds,Miami Marlins,5.0
2025-04-23,Chicago White Sox,Minnesota Twins,6.0
2025-04-23,Philadelphia Phillies,New York Mets,4.0
2025-04-23,Milwaukee Brewers,San Francisco Giants,0.0
2025-04-23,Baltimore Orioles,Washington Nationals,4.0
2025-04-24,Tampa Bay Rays,Arizona Diamondbacks,5.0
2025-04-24,Texas Rangers,Athletics,5.0
2025-04-24,Seattle Mariners,Boston Red Sox,6.0
2025-04-24,Colorado Rockies,Kansas City Royals,10.0
2025-04-24,Colorado Rockies,Kansas City Royals,5.0
2025-04-24,Pittsburgh Pirates,Los Angeles Angels,6.0
2025-04-24,Chicago White Sox,Minnesota Twins,2.0
2025-04-24,Milwaukee Brewers,San Francisco Giants,9.0
2025-04-24,Baltimore Orioles,Washington Nationals,3.0
2025-04-25,Atlanta Braves,Arizona Diamondbacks,4.0
2025-04-25,Chicago White Sox,Athletics,2.0
2025-04-25,Philadelphia Phillies,Chicago Cubs,3.0
2025-04-25,Boston Red Sox,Cleveland Guardians,0.0
2025-04-25,Cincinnati Reds,Colorado Rockies,12.0
2025-04-25,Baltimore Orioles,Detroit Tigers,0.0
2025-04-25,Houston Astros,Kansas City Royals,1.0
2025-04-25,Pittsburgh Pirates,Los Angeles Dodgers,3.0
2025-04-25,Los Angeles Angels,Minnesota Twins,11.0
2025-04-25,Toronto Blue Jays,New York Yankees,0.0
2025-04-25,Tampa Bay Rays,San Diego Padres,1.0
2025-04-25,Texas Rangers,San Francisco Giants,1.0
2025-04-25,Miami Marlins,Seattle Mariners,7.0
2025-04-25,Milwaukee Brewers,St. Louis Cardinals,3.0
2025-04-25,New York Mets,Washington Nationals,2.0
2025-04-26,Atlanta Braves,Arizona Diamondbacks,7.0
2025-04-26,Chicago White Sox,Athletics,7.0
2025-04-26,Philadelphia Phillies,Chicago Cubs,8.0
2025-04-26,Boston Red Sox,Cleveland Guardians,8.0
